month,keyword,website_hits,r_hits,difference,absolute_difference,direction
2021-09,election,3,1.1666666666666667,-1.8333333333333333,1.8333333333333333,Website higher
2021-09,kamala harris,0,0.5,0.5,0.5,R higher
2021-09,trump,4,1,-3,3,Website higher
2021-10,election,1,1.7,0.7,0.7,R higher
2021-10,kamala harris,0,0.5,0.5,0.5,R higher
2021-10,trump,4,1,-3,3,Website higher
2021-11,election,6,0.5,-5.5,5.5,Website higher
2021-11,kamala harris,1,0.5,-0.5,0.5,Website higher
2021-11,trump,3,1,-2,2,Website higher
2021-12,election,1,0.5,-0.5,0.5,Website higher
2021-12,kamala harris,0,0.5,0.5,0.5,R higher
2021-12,trump,4,1,-3,3,Website higher
2022-01,election,1,0.5,-0.5,0.5,Website higher
2022-01,kamala harris,0,0.5,0.5,0.5,R higher
2022-01,trump,4,1,-3,3,Website higher
2022-02,election,1,0.625,-0.375,0.375,Website higher
2022-02,kamala harris,0,0.5,0.5,0.5,R higher
2022-02,trump,5,1.5,-3.5,3.5,Website higher
2022-03,election,2,0.625,-1.375,1.375,Website higher
2022-03,kamala harris,0,0.5,0.5,0.5,R higher
2022-03,trump,4,1,-3,3,Website higher
2022-04,election,2,0.875,-1.125,1.125,Website higher
2022-04,kamala harris,0,0.5,0.5,0.5,R higher
2022-04,trump,4,1,-3,3,Website higher
2022-05,election,3,0.9,-2.1,2.1,Website higher
2022-05,kamala harris,0,0.5,0.5,0.5,R higher
2022-05,trump,3,1,-2,2,Website higher
2022-06,election,2,1,-1,1,Website higher
2022-06,kamala harris,0,0.5,0.5,0.5,R higher
2022-06,trump,4,1.25,-2.75,2.75,Website higher
2022-07,election,1,0.7,-0.30000000000000004,0.30000000000000004,Website higher
2022-07,kamala harris,0,0.5,0.5,0.5,R higher
2022-07,trump,8,2,-6,6,Website higher
2022-08,election,3,0.875,-2.125,2.125,Website higher
2022-08,kamala harris,0,0.5,0.5,0.5,R higher
2022-08,trump,7,2.5,-4.5,4.5,Website higher
2022-09,election,1,0.5,-0.5,0.5,Website higher
2022-09,kamala harris,0,0.5,0.5,0.5,R higher
2022-09,trump,5,1.25,-3.75,3.75,Website higher
2022-10,election,3,1.2,-1.8,1.8,Website higher
2022-10,kamala harris,0,0.5,0.5,0.5,R higher
2022-10,trump,4,1,-3,3,Website higher
2022-11,election,40,11.25,-28.75,28.75,Website higher
2022-11,kamala harris,0,0.5,0.5,0.5,R higher
2022-11,trump,7,2.25,-4.75,4.75,Website higher
2022-12,election,2,0.875,-1.125,1.125,Website higher
2022-12,kamala harris,0,0.5,0.5,0.5,R higher
2022-12,trump,5,1.5,-3.5,3.5,Website higher
2023-01,election,1,0.5,-0.5,0.5,Website higher
2023-01,kamala harris,0,0.5,0.5,0.5,R higher
