month,keyword,r_hits
2021-09,election,1.1666666666666667
2021-09,kamala harris,0.5
2021-09,trump,1
2021-10,election,1.7
2021-10,kamala harris,0.5
2021-10,trump,1
2021-11,election,0.5
2021-11,kamala harris,0.5
2021-11,trump,1
2021-12,election,0.5
2021-12,kamala harris,0.5
2021-12,trump,1
2022-01,election,0.5
2022-01,kamala harris,0.5
2022-01,trump,1
2022-02,election,0.625
2022-02,kamala harris,0.5
2022-02,trump,1.5
2022-03,election,0.625
2022-03,kamala harris,0.5
2022-03,trump,1
2022-04,election,0.875
2022-04,kamala harris,0.5
2022-04,trump,1
2022-05,election,0.9
2022-05,kamala harris,0.5
2022-05,trump,1
2022-06,election,1
2022-06,kamala harris,0.5
2022-06,trump,1.25
2022-07,election,0.7
2022-07,kamala harris,0.5
2022-07,trump,2
2022-08,election,0.875
2022-08,kamala harris,0.5
2022-08,trump,2.5
2022-09,election,0.5
2022-09,kamala harris,0.5
2022-09,trump,1.25
2022-10,election,1.2
2022-10,kamala harris,0.5
2022-10,trump,1
2022-11,election,11.25
2022-11,kamala harris,0.5
2022-11,trump,2.25
2022-12,election,0.875
2022-12,kamala harris,0.5
2022-12,trump,1.5
2023-01,election,0.5
2023-01,kamala harris,0.5
2023-01,trump,1
2023-02,election,0.75
2023-02,kamala harris,0.5
2023-02,trump,1
2023-03,election,0.5
2023-03,kamala harris,0.5
2023-03,trump,2.25
2023-04,election,0.7
2023-04,kamala harris,0.5
2023-04,trump,1.8
2023-05,election,0.75
2023-05,kamala harris,0.5
2023-05,trump,1.25
2023-06,election,0.5
2023-06,kamala harris,0.5
2023-06,trump,1.75
2023-07,election,0.5
2023-07,kamala harris,0.5
2023-07,trump,1.2
2023-08,election,0.625
2023-08,kamala harris,0.5
2023-08,trump,2.75
2023-09,election,0.5
2023-09,kamala harris,0.5
2023-09,trump,1.25
2023-10,election,0.8
2023-10,kamala harris,0.5
2023-10,trump,1.2
2023-11,election,1.75
2023-11,kamala harris,0.5
2023-11,trump,1.25
2023-12,election,0.6
2023-12,kamala harris,0.5
2023-12,trump,1.6
2024-01,election,0.75
2024-01,kamala harris,0.5
2024-01,trump,2.25
2024-02,election,1
2024-02,kamala harris,0.5
2024-02,trump,2.25
2024-03,election,1.1
2024-03,kamala harris,0.5
2024-03,trump,2.4
2024-04,election,0.625
2024-04,kamala harris,0.5
2024-04,trump,2
2024-05,election,1
2024-05,kamala harris,0.5
2024-05,trump,3.5
2024-06,election,1.2
2024-06,kamala harris,0.5
2024-06,trump,2.8
2024-07,election,1
2024-07,kamala harris,2.75
2024-07,trump,12.5
2024-08,election,1
2024-08,kamala harris,1.5
2024-08,trump,4.25
2024-09,election,1
2024-09,kamala harris,1.2
2024-09,trump,4.8
2024-10,election,2.75
2024-10,kamala harris,1.5
2024-10,trump,5.75
2024-11,election,29.25
2024-11,kamala harris,2.25
2024-11,trump,10.5
2024-12,election,0.8
2024-12,kamala harris,0.5
2024-12,trump,2.6
2025-01,election,0.875
2025-01,kamala harris,0.5
2025-01,trump,9.75
2025-02,election,0.875
2025-02,kamala harris,0.5
2025-02,trump,6.75
2025-03,election,1.1
2025-03,kamala harris,0.5
2025-03,trump,5.4
2025-04,election,0.625
2025-04,kamala harris,0.5
2025-04,trump,4.25
2025-05,election,0.75
2025-05,kamala harris,0.5
2025-05,trump,3.75
2025-06,election,0.7
2025-06,kamala harris,0.5
2025-06,trump,5
2025-07,election,0.625
2025-07,kamala harris,0.5
2025-07,trump,4.5
2025-08,election,0.5
2025-08,kamala harris,0.5
2025-08,trump,4
2025-09,election,0.5
2025-09,kamala harris,0.5
2025-09,trump,4.25
2025-10,election,1
2025-10,kamala harris,0.5
2025-10,trump,3.75
2025-11,election,2.5
2025-11,kamala harris,0.5
2025-11,trump,4.2
2025-12,election,0.625
2025-12,kamala harris,0.5
2025-12,trump,4
2026-01,election,1
2026-01,kamala harris,0.5
2026-01,trump,5
2026-02,election,1
2026-02,kamala harris,0.5
2026-02,trump,4.75
2026-03,election,1.2
2026-03,kamala harris,0.5
2026-03,trump,4.4
2026-04,election,1
2026-04,kamala harris,0.5
2026-04,trump,5
2026-05,election,1.4
2026-05,kamala harris,0.5
2026-05,trump,3.4
2026-06,election,1
2026-06,kamala harris,0.5
2026-06,trump,3.75
2026-07,election,1
2026-07,kamala harris,0.5
2026-07,trump,3.75
2026-08,election,0.8
2026-08,kamala harris,0.5
2026-08,trump,3
2026-09,election,0.75
2026-09,kamala harris,0.5
2026-09,trump,3
