month,keyword,website_hits
2021-09,election,3
2021-09,kamala harris,0
2021-09,trump,4
2021-10,election,1
2021-10,kamala harris,0
2021-10,trump,4
2021-11,election,6
2021-11,kamala harris,1
2021-11,trump,3
2021-12,election,1
2021-12,kamala harris,0
2021-12,trump,4
2022-01,election,1
2022-01,kamala harris,0
2022-01,trump,4
2022-02,election,1
2022-02,kamala harris,0
2022-02,trump,5
2022-03,election,2
2022-03,kamala harris,0
2022-03,trump,4
2022-04,election,2
2022-04,kamala harris,0
2022-04,trump,4
2022-05,election,3
2022-05,kamala harris,0
2022-05,trump,3
2022-06,election,2
2022-06,kamala harris,0
2022-06,trump,4
2022-07,election,1
2022-07,kamala harris,0
2022-07,trump,8
2022-08,election,3
2022-08,kamala harris,0
2022-08,trump,7
2022-09,election,1
2022-09,kamala harris,0
2022-09,trump,5
2022-10,election,3
2022-10,kamala harris,0
2022-10,trump,4
2022-11,election,40
2022-11,kamala harris,0
2022-11,trump,7
2022-12,election,2
2022-12,kamala harris,0
2022-12,trump,5
2023-01,election,1
2023-01,kamala harris,0
2023-01,trump,3
2023-02,election,1
2023-02,kamala harris,0
2023-02,trump,3
2023-03,election,2
2023-03,kamala harris,0
2023-03,trump,8
2023-04,election,2
2023-04,kamala harris,0
2023-04,trump,8
2023-05,election,2
2023-05,kamala harris,0
2023-05,trump,4
2023-06,election,1
2023-06,kamala harris,0
2023-06,trump,6
2023-07,election,1
2023-07,kamala harris,0
2023-07,trump,4
2023-08,election,1
2023-08,kamala harris,0
2023-08,trump,9
2023-09,election,1
2023-09,kamala harris,0
2023-09,trump,4
2023-10,election,2
2023-10,kamala harris,0
2023-10,trump,5
2023-11,election,5
2023-11,kamala harris,0
2023-11,trump,5
2023-12,election,1
2023-12,kamala harris,0
2023-12,trump,5
2024-01,election,2
2024-01,kamala harris,0
2024-01,trump,7
2024-02,election,2
2024-02,kamala harris,0
2024-02,trump,8
2024-03,election,3
2024-03,kamala harris,0
2024-03,trump,8
2024-04,election,2
2024-04,kamala harris,0
2024-04,trump,7
2024-05,election,2
2024-05,kamala harris,0
2024-05,trump,11
2024-06,election,3
2024-06,kamala harris,0
2024-06,trump,10
2024-07,election,3
2024-07,kamala harris,7
2024-07,trump,39
2024-08,election,3
2024-08,kamala harris,7
2024-08,trump,15
2024-09,election,4
2024-09,kamala harris,4
2024-09,trump,18
2024-10,election,8
2024-10,kamala harris,4
2024-10,trump,18
2024-11,election,100
2024-11,kamala harris,7
2024-11,trump,39
2024-12,election,2
2024-12,kamala harris,0
2024-12,trump,8
2025-01,election,2
2025-01,kamala harris,1
2025-01,trump,30
2025-02,election,2
2025-02,kamala harris,0
2025-02,trump,23
2025-03,election,2
2025-03,kamala harris,0
2025-03,trump,20
2025-04,election,3
2025-04,kamala harris,0
2025-04,trump,16
2025-05,election,2
2025-05,kamala harris,0
2025-05,trump,13
2025-06,election,2
2025-06,kamala harris,0
2025-06,trump,18
2025-07,election,1
2025-07,kamala harris,0
2025-07,trump,16
2025-08,election,1
2025-08,kamala harris,0
2025-08,trump,13
2025-09,election,1
2025-09,kamala harris,0
2025-09,trump,15
2025-10,election,2
2025-10,kamala harris,0
2025-10,trump,13
2025-11,election,9
2025-11,kamala harris,0
2025-11,trump,15
2025-12,election,2
2025-12,kamala harris,0
2025-12,trump,13
2026-01,election,2
2026-01,kamala harris,0
2026-01,trump,16
2026-02,election,3
2026-02,kamala harris,0
2026-02,trump,16
2026-03,election,3
2026-03,kamala harris,0
2026-03,trump,14
2026-04,election,3
2026-04,kamala harris,0
2026-04,trump,18
2026-05,election,4
2026-05,kamala harris,0
2026-05,trump,12
2026-06,election,4
2026-06,kamala harris,0
2026-06,trump,12
2026-07,election,2
2026-07,kamala harris,0
2026-07,trump,13
2026-08,election,3
2026-08,kamala harris,0
2026-08,trump,10
2026-09,election,2
2026-09,kamala harris,0
2026-09,trump,11
