date,keyword,pull_1_hits,pull_2_hits,difference,absolute_difference
2021-09-12,trump,1,1,0,0
2021-09-19,trump,1,1,0,0
2021-09-26,trump,1,1,0,0
2021-10-03,trump,1,1,0,0
2021-10-10,trump,1,1,0,0
2021-10-17,trump,1,1,0,0
2021-10-24,trump,1,1,0,0
2021-10-31,trump,1,1,0,0
2021-11-07,trump,1,1,0,0
2021-11-14,trump,1,1,0,0
2021-11-21,trump,1,1,0,0
2021-11-28,trump,1,1,0,0
2021-12-05,trump,1,1,0,0
2021-12-12,trump,1,1,0,0
2021-12-19,trump,1,1,0,0
2021-12-26,trump,1,1,0,0
2022-01-02,trump,1,1,0,0
2022-01-09,trump,1,1,0,0
2022-01-16,trump,1,1,0,0
2022-01-23,trump,1,1,0,0
2022-01-30,trump,1,1,0,0
2022-02-06,trump,1,1,0,0
2022-02-13,trump,1,1,0,0
2022-02-20,trump,2,2,0,0
2022-02-27,trump,2,2,0,0
2022-03-06,trump,1,1,0,0
2022-03-13,trump,1,1,0,0
2022-03-20,trump,1,1,0,0
2022-03-27,trump,1,1,0,0
2022-04-03,trump,1,1,0,0
2022-04-10,trump,1,1,0,0
2022-04-17,trump,1,1,0,0
2022-04-24,trump,1,1,0,0
2022-05-01,trump,1,1,0,0
2022-05-08,trump,1,1,0,0
2022-05-15,trump,1,1,0,0
2022-05-22,trump,1,1,0,0
2022-05-29,trump,1,1,0,0
2022-06-05,trump,1,1,0,0
2022-06-12,trump,1,1,0,0
2022-06-19,trump,1,1,0,0
2022-06-26,trump,2,2,0,0
2022-07-03,trump,1,1,0,0
2022-07-10,trump,4,4,0,0
2022-07-17,trump,3,3,0,0
2022-07-24,trump,1,1,0,0
2022-07-31,trump,1,1,0,0
2022-08-07,trump,4,4,0,0
2022-08-14,trump,2,2,0,0
2022-08-21,trump,2,2,0,0
2022-08-28,trump,2,2,0,0
2022-09-04,trump,1,1,0,0
2022-09-11,trump,1,1,0,0
2022-09-18,trump,2,2,0,0
2022-09-25,trump,1,1,0,0
2022-10-02,trump,1,1,0,0
2022-10-09,trump,1,1,0,0
2022-10-16,trump,1,1,0,0
2022-10-23,trump,1,1,0,0
2022-10-30,trump,1,1,0,0
2022-11-06,trump,2,2,0,0
2022-11-13,trump,4,4,0,0
2022-11-20,trump,2,2,0,0
2022-11-27,trump,1,1,0,0
2022-12-04,trump,2,2,0,0
2022-12-11,trump,2,2,0,0
2022-12-18,trump,1,1,0,0
2022-12-25,trump,1,1,0,0
2023-01-01,trump,1,1,0,0
2023-01-08,trump,1,1,0,0
2023-01-15,trump,1,1,0,0
2023-01-22,trump,1,1,0,0
2023-01-29,trump,1,1,0,0
2023-02-05,trump,1,1,0,0
2023-02-12,trump,1,1,0,0
2023-02-19,trump,1,1,0,0
2023-02-26,trump,1,1,0,0
2023-03-05,trump,1,1,0,0
2023-03-12,trump,1,1,0,0
2023-03-19,trump,4,4,0,0
2023-03-26,trump,3,3,0,0
2023-04-02,trump,5,5,0,0
2023-04-09,trump,1,1,0,0
2023-04-16,trump,1,1,0,0
2023-04-23,trump,1,1,0,0
2023-04-30,trump,1,1,0,0
2023-05-07,trump,2,2,0,0
2023-05-14,trump,1,1,0,0
2023-05-21,trump,1,1,0,0
2023-05-28,trump,1,1,0,0
2023-06-04,trump,2,2,0,0
2023-06-11,trump,3,3,0,0
2023-06-18,trump,1,1,0,0
2023-06-25,trump,1,1,0,0
2023-07-02,trump,1,1,0,0
2023-07-09,trump,1,1,0,0
2023-07-16,trump,1,1,0,0
2023-07-23,trump,1,1,0,0
2023-07-30,trump,2,2,0,0
2023-08-06,trump,2,2,0,0
2023-08-13,trump,2,2,0,0
2023-08-20,trump,5,5,0,0
2023-08-27,trump,2,2,0,0
2023-09-03,trump,1,1,0,0
2023-09-10,trump,1,1,0,0
2023-09-17,trump,1,1,0,0
2023-09-24,trump,2,2,0,0
2023-10-01,trump,2,2,0,0
2023-10-08,trump,1,1,0,0
2023-10-15,trump,1,1,0,0
2023-10-22,trump,1,1,0,0
2023-10-29,trump,1,1,0,0
2023-11-05,trump,2,2,0,0
2023-11-12,trump,1,1,0,0
2023-11-19,trump,1,1,0,0
2023-11-26,trump,1,1,0,0
